LEMOORE YARD MAINTENANCE STATION,48137.8,42553.7
Liebre Gulch S/S,275.2,527.3
LIVERMORE MAINTENANCE STATION,49243.4,44332.7
LODI MAINTENANCE STATION,24038,47586
Lone Pine S/S,0,0
LONG BARN MAINTENANCE STATION,66512.6,72953.2
LONG BEACH MAINTENANCE STATION,101303.7,91781.5
LOS ANGELES LABORATORY/OFFICE,0,0
LOS ANGELES REGIONAL TMC,4459666.1,4299999.8
LOS BANOS MAINTENANCE STATION,19647.7,18932.2
Los Gatos Satellite,0,0
LOST HILLS MAINTENANCE STATION (SATELLITE),5233.8,2585.1
LOWER LAKE CONSTRUCTION LABORATORY,39486.4,23662.6
MADERA MAINTENANCE STATION,57116,59883.5
Magana Ortega,198453.7,185351.6
Maintenance Equip Training Ctr,56280,74400
MANCHESTER MAINTENANCE STATION,19540.7,20434.7
MANZANITA MAINTENANCE STATION,31824.8,37910
Marine Way Maint,160218.3,178017.1
MARYSVILLE MAINTENANCE STATION,66015.3,68366.2
MCCLOUD SAND HOUSE,2668.2,2316
MCGEE MAINTENANCE STATION,171218.3,176890.5
MCKITTRICK MAINTENANCE STATION,1285.3,1668.7
MENDOTA MAINTENANCE STATION,28069.6,28735.7
MERCED MAINTENANCE STATION,98780.3,86279.3
Metro Electrical,31059,32836.8
Middlebury Maint,8629,10204
MIDDLEFIELD ROAD MAINTENANCE STATION,10412.8,14376.2
MIDPINES MAINTENANCE STATION,77972.2,74295
MIDWAY WELLS MAINTENANCE STATION,20689.8,19429.8
Millbrae Maint,15721.2,13362
MILPITAS LANDSCAPE MAINTENANCE,12121.3,9907.1
Milt's Place S/S,0,0
MINARET SATELLITE,46592.2,47632.3
MINERAL MAINTENANCE STATION,44618.7,37142
Mission Hills Maint,4717.8,4491
MODESTO MAINTENANCE STATION,23189,22971
MOJAVE MAINTENANCE STATION,66638,59532
MONTEREY MAINTENANCE STATION,7708.8,8430.3
Moorpark Maint,57907.6,59739.3
Mountain Pass,58341.8,38520.9
Mt Wilson S/S,0,0
MT. SHASTA MAINTENANCE STATION,160199.4,140760
Mud Springs S/S,0,0
NAPA MAINTENANCE STATION,48434.5,37290.1
NEEDLES MAINTENANCE STATION,42526,47553
NEVADA CITY (SUTTER/SIERRA REGION) MAINTENANCE,207402,183724.9
NEWELL MAINTENANCE STATION,31080,30480
NEWHALL MAINTENANCE STATION/NORTH REGION,25160.5,27174.4
NORTH BAY REGION,42801.7,38115
NORTH HOLLYWOOD MAINTENANCE STATION,52509,49805
NORTHGATE MAINTENANCE STATION,83630.6,82685.9
OJAI MAINTENANCE STATION,383.6,999.8
Old Gold  Lake Rd S/S,0,0
ONTARIO MAINTENANCE STATION,17868.2,18812.7
ORANGE MAINTENANCE STATION,109750.4,108073.4
ORINDA CONSTRUCTION LABORATORY,12505.6,7588.8
ORLEANS MAINTENANCE STATION,27972.8,25459.1
Otay Maintenance Station,14922,17035.8
