ZIP,SiteEnergyUse2013,GridPurchase2013,WaterUse2013,SiteEnergyUse2014,GridPurchase2014,WaterUse2014
93933,4028.3,1180.6,173.1,4368.9,1251.1,0
93940,730473.3,354843.1,1050,565043,274763.8,1861
93950,0,0,0,0,0,6153
93953,0,40987.5,137.3,0,42270.6,121
93955,1122053.5,181637.5,541.1,1061688.5,192143,517.7
93960,354425008.8,31659693,520045.2,311106527.6,24322447.8,471414.5
94014,9774.5,2864.7,0,8823.9,2586.1,0
94015,1147048.8,155356.4,327.6,1042371.5,160776.3,303
94019,0,0,2838.7,0,0,0
94020,0,0,1087.5,0,0,1005.7
94030,53640.9,15721.2,142.1,45591.3,13362,134.9
94037,0,0,3.7,0,0,0
94040,467068,197612.5,700.4,488889.5,210538.2,593.9
94043,35528.5,10412.8,231.1,49051.8,14376.2,521
94060,208744.4,61179.5,704.5,101341.5,29701.5,2621.6
94061,1380869.9,76713.5,55.9,1457568.1,91538.7,68.2
94062,180671.3,52951.7,0,179826.3,52704.1,0
94063,999775.9,184205.7,590.7,916342.8,185698.9,555.2
94066,373921.8,31051.2,9,185455.6,30708.2,14.2
94080,0,0,0,0,0,0
94102,59248551.7,13192781.7,13733.9,58141170.9,12947591.5,13765.8
94103,1592452.8,412561.6,700.8,1370126,362825.3,261.8
94105,566356.5,76787.8,98.7,380539.2,64045.9,83.2
94109,100681.1,17028.1,20.9,106418.8,20644.1,37.4
94117,2480916.9,342670.9,801.3,1955597.6,351706.9,798.9
94119,3544073.6,844295.4,818.6,3404419,859705.7,894.4
94124,0,0,0,0,0,0
94130,0,0,26.6,0,0,153.3
94132,1346175.2,111945.8,104.9,1367707.2,91828.3,64.1
94134,1427502.9,185366.6,1141.5,493735.2,180945.6,458.3
94401,2212615.5,261037.5,592.7,2142952.6,268083.2,571.6
94402,0,0,705.4,0,0,832.9
94404,471657.2,82562.7,316.4,460409.7,84335.5,438.5
94503,0,0,0,0,0,0
94508,67075.2,17488,21.5,106810.4,15945.8,30.7
94509,302590.7,319821,617.9,1471662.3,294912.8,460.2
94510,139766.3,159124,3495.6,851510.4,138426.7,612.4
94514,2324905.1,0,1292.6,1963195,0,260.3
94515,63026.8,18472.1,6536.2,46222.1,13546.9,2549.7
94517,149502.8,27395.9,169.1,208367,30492.1,169.1
94519,430512.5,19053.1,12.6,387963.6,14837.8,11.8
94520,790419.2,179501.7,1085.4,663056.2,144029.7,931.3
94530,1032878.4,170274.7,496,914406.9,175298.6,463.8
94533,1784484.2,278082.5,1057.1,1655649.9,243257.5,1504.4
94535,1514439,240497.9,169.7,1380598.9,246380.1,185.9
94536,958099.9,170611.1,431.6,687368.6,167472.2,1391.8
94538,37314277.2,4656968.2,72541.6,30110827.3,4606209.4,39681.3
94544,1832492.1,365158,702.8,1616612.6,368428.2,697.4
94546,0,0,0,0,0,0
94547,89929.3,26356.8,884.1,76039.8,22286,765
94550,740696.5,187875.2,14168.5,821523.5,200855.1,6665
94553,649797.6,154222.9,133.2,586599.6,153148.7,153.4
94558,302484193.3,5586554.6,2899.3,291698399.2,3994105.6,1959.6
94559,108222.8,31718.3,136.1,27255.3,7988.1,135.7
94560,0,959453.7,1947.2,3526618.6,920518,1471.5
94563,42669.3,12505.6,0,25893.1,7588.8,0
94565,693381.6,108170.1,81.9,570852.5,102133.8,67.9
94566,389275.9,48036.6,270,309316.5,46056,270
94571,242778.7,37361.9,261,212941.2,39856.7,188
94574,986403.9,208455.6,188.8,1927821.6,305321.6,167
94577,0,273785.7,0,2431974.8,286370.1,0
94579,1235714.3,268754.4,2782,2318763.5,262827.8,2262.4
94583,87661.1,25692,861.8,80296,23533.4,302.3
94585,1923672.2,554315.6,2124.2,1950737.9,562142.9,1865.4
94587,186.2,54.6,0,156.4,45.8,0
94588,982249,172573.9,627.6,1025587.4,195580.3,601.4
94590,2119708.9,383359.4,1142.6,1755615.9,389910.1,1081
94591,6307567.1,1324548,2624.2,5691940.6,1274303.6,1502.8
94595,2998990.6,878953.8,142.5,1771189.9,519106,142.1
94596,409433.9,132498.1,416.6,763216.2,122094.1,337.3
94598,0,0,0,0,0,0
94599,196674245.6,14163855.1,140517.3,198888338.3,15254836.5,102176.5
94601,0,0,0,0,0,0
94603,739144.9,142462.6,403.2,681084,144075,274.5
94605,28531.7,8362.2,70.2,25067.4,7346.8,70.4
94606,2246159.9,538331.2,1027.3,2526698.9,629648.3,891.5
94607,0,0,0,0,0,0
94609,1089815.4,257100.7,4287.8,1120158.8,273439.4,4669.5
94611,2614.7,766.3,0,2697.8,790.7,0
94612,60395252.5,14157696.4,15172.8,62921629.3,14730900.4,14488.2
94618,1631480.3,230698.2,474.3,1695566.7,261299,442.1
94621,1146401.1,194168,232.7,1047331.4,199312.9,216.2
94706,5779748.9,478750.9,2078.3,4033557,421577,1217.2
94801,1197568.7,350987.3,459.3,1404324.6,411583.9,587.3
94804,155621832.6,18842349.3,27107.5,137886550.7,18586914.2,20384.9
94901,176525.1,51736.5,0,0,0,0
94903,1327765.9,89947.9,94.4,1003301.9,94005.5,0
94920,0,0,0,0,0,2300.7
94923,696763.5,204209.7,773.2,533586.5,156385.2,0
94925,1445197.2,269751.7,974.2,1329250.2,265786.8,758.8
94928,820859.2,181558.2,0,730381.8,169016.7,130
94937,11114.7,3257.5,540,9572.3,2805.5,365.2
94938,260107,76233,0,289084,84725.7,0
94939,136.5,40,154.1,682.4,200,150.3
94941,112033.7,32835.2,0,93481.6,27397.9,0
94947,45909.7,13455.4,386.9,37697.4,11048.5,316.3
94948,0,0,0,45359.2,13294,0
94952,785359,129229.4,360.4,1096789.5,118053,279.3
94954,0,67335.5,324.7,0,69313.7,265.4
94956,166579.4,31827.1,664.8,168088.9,37910,764
94964,231503622.1,13232683,223129.1,0,0,207068.1
95003,558913.7,126404.7,2705.6,525745.7,123060.7,191.2
95006,0,0,5496.1,0,0,6634
95008,69176.7,14450.4,32,132391.4,18012.7,30.7
95010,1089814.2,205435.9,1741.6,985034.4,192845.1,1448.2
95012,10206.9,2991.5,0,0,0,0
95014,121659.5,45026.8,433,367255.6,37680.4,334.8
95017,272256.1,31906.2,51.5,195835.9,25552.1,46.1
95018,1710137.6,369180.4,2502.8,1359094.8,293987.3,2304.2
95019,109133.3,0,234.8,69837.6,0,59.1
95020,1071363.3,151705.9,9688,911792.1,132001.5,5879.4
95023,1816687,247784.5,17843.8,1519527.3,242186.6,6351.6
95024,138908.2,40711.7,680,172424,50534.6,680
95030,1621581.5,281634.8,1068.8,1482760.1,265758.4,1021.9
95033,22349.9,6550.4,38.4,22342.6,6548.2,104.3
95035,76097.8,12121.3,361.3,63790.6,9907.1,120.7
95037,3561574,503822,3160.6,3042188,490448.6,3183.2
95043,0,71896.1,174.5,68412.4,74952.3,143.1
95045,0,0,132.2,0,0,108.9
95051,0,0,1226.4,0,0,1187.2
95060,1409594.8,401091.4,5137.4,1473172.7,422073.9,3548.3
95062,0,41468.6,356.8,340010.7,41897.4,405
95065,215580.5,21874.7,174.4,0,24069,113.7
95073,156704,23871,32,173690.7,26692.5,30.7
95075,0,0,0,0,0,0
95076,2384242.8,522616.1,14515.5,2058183.1,490218.3,10502.7
95110,3443300.3,486644.9,1585.9,3233134.3,500500.9,1694.3
95112,88.7,26,859.5,146.1,42.8,701.5
95113,7945918.6,1389999.3,1889.6,7402371.2,1399861.2,1457.1
95119,834530.8,162544.2,627.6,860011.4,177457.2,613.4
95120,71682.1,13944.4,250.3,150373,21934.6,250.3
95131,747907.3,185032.9,1203,403657.4,101290.9,641.7
95134,0,0,0,0,0,0
95138,0,61807.5,110.7,588693.6,72315,102.8
95140,118255.6,17941.3,32,81721.1,16670.9,18.2
95202,6086564.2,1256746.9,2667.8,5139915.7,1163395.6,3073.4
95205,3197664.6,251305.5,5048.6,2777815.7,320858.3,2953.3
95206,7753185.5,1308752.1,1113.7,8754379.4,1283187.8,690.4
95208,993196.6,254336.6,354.6,1106047.4,254335.9,300.9
95213,62523361.5,4853171.4,33694.3,81592890.3,11604040.5,22453
95215,115168693.1,14707112,0,120906632.4,17915662.6,71587.2
95221,205216.1,60145.4,46.1,217340.3,63698.8,46.1
95222,1224434.5,358861.2,590.6,1258332.9,368796.2,390.3
95223,935021.1,318508.3,387.3,982618,329561.5,2760.6
95227,0,0,0,0,0,0
95228,0,23479.1,32,0,26488.7,30.7
95231,0,0,8399.8,0,0,7487.7
95240,1308096.9,70450.1,6816,1132629.6,100158.3,9200
95246,0,26976.2,34.3,0,30084,30.7
95247,0,20344.1,34.3,0,24795.3,30.7
95255,83637.5,70210.5,229.1,75907.3,71363.9,261.4
95301,2261968.2,432816,7608.7,2373000.4,435085.8,4963.6
95303,0,0,700,0,0,840.6
95306,0,14143.4,32,0,2708.2,30.7
95310,0,69265.7,5607,0,69454.5,1327.6
95311,90095.6,57283.9,98.6,101897.9,66064.4,104
95319,0,0,12906.1,0,0,6243.2
95321,203244.4,78042.8,219.2,192168.9,76718.2,153.5
95322,861018.4,282356.8,1785.1,962209.9,316153.9,1338.1
95324,23379,6852,650,48975.8,14354,755.3
95325,0,18088.6,32,0,20945.2,30.7
95327,39784977.4,11682340.7,197059.2,43061307.9,12640401.8,159167.9
95329,590251.6,173965.6,748.2,370472.9,109550.7,235.7
95335,226941,66512.6,81.9,248916.2,72953.2,82.3
95338,1339773.3,428325.3,5277.7,1354200.5,433051.1,4647.2
95340,2517798.1,540963.6,4949,2236458.8,464398.5,5382.5
95345,266041.1,77972.2,81.9,253494.7,74295,82.1
95347,600761.8,176073.2,237.9,552585.1,161953.4,237.3
95351,745327.9,101981.9,929.9,522404,89924.8,614.7
95353,1405430.2,320408.6,1777.2,1468160.1,364703.7,1734.7
95354,92.3,0,822.9,91.7,0,782.5
95356,889179.6,164280,1945.7,780020.9,160523.2,1163.7
95361,471375.5,39500.6,311.2,428969.4,39035,74.3
95363,1050595.5,44936.3,18124.6,492164.3,40888,460.1
95366,7434457.1,1296735.2,7959,127692.7,1304308.5,3267.6
95369,23439.1,6869.6,63.2,352184.1,103219.3,63
95370,35822.7,89356,55.7,35118.5,83943.8,55.7
